Company,ServiceType,Scope,Total,TotalRank,Governance,GovernanceRank,Freedom,FreedomRank,Privacy,PrivacyRank
Alibaba,eCommerce,Taobao.com,32,1,10,1,25,1,43,1
Alibaba,pda,AliGenie,19,1,6,1,11,2,28,1
Amazon,cloud,Amazon Cloud,21,7,6,8,16,6,29,7
Amazon,eCommerce,Amazon.com,20,2,6,2,11,2,29,2
Amazon,pda,Alexa,19,1,6,1,13,1,27,2
AmericaMovil,mobile,Mobile Service,22,8,51,6,7,10,22,7
Apple,cloud,iCloud,45,3,50,3,27,3,52,1
Apple,messagingVoip,iMessage,44,2,48,4,21,5,55,1
Apple,mobileEcosystem,iOS (mobile ecosystem),46,1,50,2,28,2,54,1
ATT,broadband,Fixed-line broadband,38,4,57,5,25,3,39,4
ATT,mobile,Mobile Service,36,4,57,5,24,4,37,4
Axiata,broadband,Fixed-line broadband,16,8,23,9,7,8,19,8
Axiata,mobile,Mobile Service,16,9,23,10,8,9,19,8
Baidu,cloud,Baidu Cloud,25,6,10,7,14,7,37,4
Baidu,search,Baidu Search,23,5,10,5,13,5,32,4
Baidu,socialNetworkBlogs,Baidu PostBar,27,3,12,4,15,3,38,3
BhartiAirtel,broadband,Fixed-line broadband,16,8,30,8,3,11,18,9
BhartiAirtel,mobile,Mobile Service,16,9,30,9,4,11,18,10
DeutscheTelekom,broadband,Fixed-line broadband,35,5,42,7,9,7,48,1
DeutscheTelekom,mobile,Mobile Service,34,5,42,8,9,7,48,1
Etisalat,broadband,Fixed-line broadband,10,10,14,10,7,8,11,10
Etisalat,mobile,Mobile Service,11,11,14,11,9,7,11,11
Facebook,messagingVoip,Messenger,44,2,60,2,21,5,52,2
Facebook,messagingVoip,WhatsApp,40,5,58,3,26,2,42,5
Facebook,photoVideo,Instagram,45,2,64,1,48,2,37,2
Facebook,socialNetworkBlogs,Facebook,52,2,66,1,44,2,52,1
Google,cloud,Google Drive,49,2,53,2,47,1,48,3
Google,email,Gmail,50,3,53,3,53,1,48,3
Google,mobileEcosystem,Android mobile ecosystem,42,2,53,1,30,1,45,2
Google,photoVideo,YouTube,50,1,55,2,51,1,48,1
Google,search,Google Search,53,1,56,2,62,1,47,1
Kakao,email,Daum Mail,44,4,44,4,45,2,44,4
Kakao,messagingVoip,KakaoTalk,42,4,41,5,39,1,44,4
Kakao,search,Daum Search,39,3,44,3,34,3,40,3
MailRu,cloud,Mail.Ru Cloud Solutions,28,4,26,5,19,4,33,5
MailRu,email,Mail.Ru email,33,5,26,5,34,5,34,5
MailRu,messagingVoip,Mail.Ru Agent,27,6,23,6,22,4,32,8
MailRu,socialNetworkBlogs,VKontakte,26,4,24,3,15,3,34,4
Microsoft,cloud,OneDrive,53,1,67,1,47,1,52,1
Microsoft,email,Outlook.com,53,1,67,1,37,4,54,1
Microsoft,messagingVoip,Skype,45,1,65,1,25,3,49,3
Microsoft,search,Bing,52,2,67,1,53,2,46,2
MTN,broadband,Fixed-line broadband,23,7,50,6,10,6,22,7
MTN,mobile,Mobile Service,23,7,50,7,13,5,19,8
Ooredoo,broadband,Fixed-line broadband,6,11,7,11,4,10,8,11
Ooredoo,mobile,Mobile Service,6,12,7,12,4,11,8,12
Orange,broadband,Fixed-line broadband,28,6,65,3,11,5,24,6
Orange,mobile,Mobile Service,26,6,65,3,10,6,23,6
Samsung,cloud,Samsung Cloud,21,7,30,4,14,7,22,9
Samsung,mobileEcosystem,Samsung implementation of Android,25,3,29,3,17,3,28,3
Telefonica,broadband,Fixed-line broadband,51,1,82,1,38,1,47,2
Telefonica,mobile,Mobile Service,49,1,82,1,35,1,46,2
Telenor,broadband,Fixed-line broadband,39,3,64,4,35,2,33,5
Telenor,mobile,Mobile Service,37,3,64,4,29,3,33,5
Tencent,cloud,Tencent Cloud,20,9,3,9,13,9,29,7
Tencent,messagingVoip,QQ,25,7,3,8,12,8,39,6
Tencent,messagingVoip,WeChat,22,8,5,7,13,7,33,7
Tencent,socialNetworkBlogs,QZone,20,5,3,5,14,5,29,5
Twitter,socialNetworkBlogs,Twitter,53,1,47,2,60,1,51,2
VerizonMedia,email,Yahoo Mail,52,2,64,2,40,3,51,2
Vodafone,broadband,Fixed-line broadband,41,2,68,2,25,3,41,3
Vodafone,mobile,Mobile Service,42,2,68,2,33,2,38,3
Yandex,cloud,Yandex Disk,27,5,24,6,18,5,33,5
Yandex,email,Yandex Mail,29,6,24,6,24,6,33,6
Yandex,search,Yandex Search,26,4,24,4,21,4,30,5
