Index,Company,Score
2019,Alibaba,NA
2019,Amazon,NA
2019,AmericaMovil,27
2019,Apple,46
2019,ATT,49
2019,Axiata,15
2019,Baidu,24
2019,BhartiAirtel,17
2019,DeutscheTelekom,43
2019,Etisalat,9
2019,Facebook,55
2019,Google,60
2019,Kakao,52
2019,MailRu,22
2019,Microsoft,61
2019,MTN,17
2019,Ooredoo,5
2019,Orange,36
2019,Samsung,30
2019,Telefonica,58
2019,Telenor,45
2019,Tencent,27
2019,Twitter,62
2019,VerizonMedia,60
2019,Vodafone,52
2019,Yandex,34
2020,Alibaba,25
2020,Amazon,20
2020,AmericaMovil,22
2020,Apple,43
2020,ATT,37
2020,Axiata,16
2020,Baidu,25
2020,BhartiAirtel,15
2020,DeutscheTelekom,34
2020,Etisalat,10
2020,Facebook,45
2020,Google,48
2020,Kakao,42
2020,MailRu,27
2020,Microsoft,50
2020,MTN,23
2020,Ooredoo,6
2020,Orange,27
2020,Samsung,23
2020,Telefonica,49
2020,Telenor,37
2020,Tencent,22
2020,Twitter,53
2020,VerizonMedia,52
2020,Vodafone,42
2020,Yandex,27
